id,name,biography
ART01,"Claude Monet","Oscar-Claude Monet was a French painter, a founder of French Impressionist painting."
ART02,"Vincent Van Gogh","Vincent Willem van Gogh was a Dutch post-impressionist painter who is among the most famous and influential figures in the history of Western art."
ART03,"Pablo Picasso","Pablo Picasso was a Spanish painter, sculptor, printmaker, ceramicist, and stage designer considered one of the greatest and most influential artists of the 20th century."
ART04,"Frida Kahlo","Frida Kahlo de Rivera was a Mexican painter known for her many portraits, self-portraits, and works inspired by the nature and artifacts of Mexico."
ART05,"Leonardo da Vinci","Leonardo di ser Piero da Vinci was an Italian polymath of the High Renaissance who is widely considered one of the most diversely talented individuals ever to have lived."
